long 16.9950063333333 lat 46.4549803333333 viewpoint 180 degrees.jpeg,Plant 90,Road surface 90,Building 90,Infrastructure 89,Tree 89,Window 89,Asphalt 89,Sky 87,Mode of transport 85,Thoroughfare 85
long 16.9950063333333 lat 46.4549803333333 viewpoint 270 degrees.jpeg,Window 92,Building 91,Product 91,Screenshot 82,Urban design 81,Facade 79,House 79,Real estate 79,Font 74,Software 70
long 16.9950063333333 lat 46.4549803333333 viewpoint 90 degrees.jpeg,Car 98,Wheel 98,Tire 97,Land vehicle 97,Cloud 96,Sky 95,Vehicle 95,Motor vehicle 91,Automotive lighting 90,Asphalt 88
long 16.995019 lat 46.455132 viewpoint 0 degrees.jpeg,Building 96,Plant 95,Window 94,Tree 86,Urban design 85,Biome 84,House 83,Grass 83,Residential area 82,Neighbourhood 81
long 16.995019 lat 46.455132 viewpoint 180 degrees.jpeg,Property 94,Building 92,Window 91,Urban design 85,Screenshot 82,Real estate 79,Plant 78,Facade 78,Font 73,Multimedia 70
long 16.995019 lat 46.455132 viewpoint 270 degrees.jpeg,Cloud 95,Photograph 94,Sky 94,Plant 93,Window 93,Infrastructure 89,Road surface 87,Asphalt 87,Lighting 87,Tree 87
long 16.995019 lat 46.455132 viewpoint 90 degrees.jpeg,Cloud 97,Sky 95,Photograph 94,Plant 92,Road surface 89,Asphalt 89,Lighting 87,Tree 87,Street light 87,Urban design 85
long 16.9950268333333 lat 46.454967 viewpoint 0 degrees.jpeg,Building 93,Tree 86,Wheel 85,Urban design 84,Car 84,Sky 83,Asphalt 83,Neighbourhood 82,City 80,Screenshot 80
long 16.9950268333333 lat 46.454967 viewpoint 180 degrees.jpeg,Cloud 96,Sky 94,World 91,Tree 88,Asphalt 88,Urban design 85,Road surface 85,Graphics software 83,Biome 83,Line 82
long 16.9950268333333 lat 46.454967 viewpoint 270 degrees.jpeg,Window 93,Building 87,Screenshot 81,Urban design 79,Facade 79,Real estate 78,Font 78,Software 70,Door 66,Advertising 64
long 16.9950268333333 lat 46.454967 viewpoint 90 degrees.jpeg,Wheel 97,Car 97,Tire 97,Cloud 96,Sky 96,Vehicle 95,Building 92,Motor vehicle 91,Tree 89,Automotive design 87
long 16.9950278333333 lat 46.4548561666667 viewpoint 0 degrees.jpeg,Property 94,Product 91,Fixture 87,Vehicle 85,Automotive exterior 82,Facade 79,Vehicle door 77,Car 75,Door 75,Font 74
long 16.9950278333333 lat 46.4548561666667 viewpoint 180 degrees.jpeg,Plant 96,Tree 89,Asphalt 83,Biome 83,Screenshot 83,Woody plant 81,Public space 81,Font 80,Leisure 80,Urban design 80
long 16.9950278333333 lat 46.4548561666667 viewpoint 270 degrees.jpeg,Property 94,Building 92,Window 87,Sky 85,Asphalt 85,Urban design 84,Screenshot 82,Real estate 80,Facade 76,Font 75
long 16.9950278333333 lat 46.4548561666667 viewpoint 90 degrees.jpeg,Cloud 96,Sky 92,Infrastructure 89,Asphalt 88,Tree 88,Road surface 87,Font 83,Screenshot 83,Public space 81,Urban design 80
long 16.995028 lat 46.4550553333333 viewpoint 0 degrees.jpeg,Tire 94,Wheel 90,Car 90,Infrastructure 89,Asphalt 88,Vehicle 88,Sky 87,Road surface 86,Tree 86,Mode of transport 85
long 16.995028 lat 46.4550553333333 viewpoint 180 degrees.jpeg,Plant 90,Road surface 90,Building 90,Infrastructure 89,Tree 89,Window 89,Asphalt 89,Sky 87,Mode of transport 85,Thoroughfare 85
long 16.995028 lat 46.4550553333333 viewpoint 270 degrees.jpeg,Window 92,Building 91,Product 91,Screenshot 82,Urban design 81,Facade 79,House 79,Real estate 79,Font 74,Software 70
long 16.995028 lat 46.4550553333333 viewpoint 90 degrees.jpeg,Car 98,Wheel 98,Tire 97,Land vehicle 97,Cloud 96,Sky 95,Vehicle 95,Motor vehicle 91,Automotive lighting 90,Asphalt 88
long 16.9950386666667 lat 46.4548936666667 viewpoint 0 degrees.jpeg,Building 93,Tree 86,Wheel 85,Urban design 84,Sky 84,Car 83,Asphalt 83,Neighbourhood 81,Screenshot 80,City 80
long 16.9950386666667 lat 46.4548936666667 viewpoint 180 degrees.jpeg,Cloud 96,Sky 94,World 91,Tree 88,Asphalt 88,Urban design 85,Road surface 85,Graphics software 83,Biome 83,Line 82
long 16.9950386666667 lat 46.4548936666667 viewpoint 270 degrees.jpeg,Window 93,Building 87,Screenshot 81,Urban design 79,Facade 79,Real estate 78,Font 78,Software 70,Door 66,Advertising 64
long 16.9950386666667 lat 46.4548936666667 viewpoint 90 degrees.jpeg,Wheel 97,Car 97,Tire 97,Cloud 96,Sky 96,Vehicle 95,Building 92,Motor vehicle 91,Tree 89,Automotive design 87
long 16.9950433333333 lat 46.4550516666667 viewpoint 0 degrees.jpeg,Tire 94,Wheel 90,Car 90,Infrastructure 89,Asphalt 88,Vehicle 88,Sky 87,Road surface 86,Tree 86,Mode of transport 85
long 16.9950433333333 lat 46.4550516666667 viewpoint 180 degrees.jpeg,Plant 90,Road surface 90,Building 90,Infrastructure 89,Tree 89,Window 89,Asphalt 89,Sky 87,Mode of transport 85,Thoroughfare 85
long 16.9950433333333 lat 46.4550516666667 viewpoint 270 degrees.jpeg,Window 92,Building 91,Product 91,Screenshot 82,Urban design 81,Facade 79,House 79,Real estate 79,Font 74,Software 70
long 16.9950433333333 lat 46.4550516666667 viewpoint 90 degrees.jpeg,Car 98,Wheel 98,Tire 97,Land vehicle 97,Cloud 96,Sky 95,Vehicle 95,Motor vehicle 91,Automotive lighting 90,Asphalt 88
long 16.995044 lat 46.4550803333333 viewpoint 0 degrees.jpeg,Cloud 95,World 92,Window 92,Sky 91,Building 89,Lighting 87,Tree 87,Biome 83,Urban design 83,Screenshot 82
long 16.995044 lat 46.4550803333333 viewpoint 180 degrees.jpeg,Sky 94,Cloud 91,Building 91,Road surface 90,Asphalt 88,Urban design 85,Mode of transport 84,Tree 83,Screenshot 82,Font 82
long 16.995044 lat 46.4550803333333 viewpoint 270 degrees.jpeg,Product 91,Building 85,Screenshot 81,Facade 78,Window 77,Urban design 74,Font 71,Door 70,Software 69,Multimedia 68
long 16.995044 lat 46.4550803333333 viewpoint 90 degrees.jpeg,Tire 97,Car 96,Wheel 96,Sky 94,Vehicle 91,Tree 90,Asphalt 88,Road surface 87,Mode of transport 86,Automotive tire 85
long 16.9950515 lat 46.454893 viewpoint 0 degrees.jpeg,Building 93,Tree 86,Wheel 85,Urban design 84,Car 84,Sky 83,Asphalt 83,Neighbourhood 82,City 80,Screenshot 80
long 16.9950515 lat 46.454893 viewpoint 180 degrees.jpeg,Cloud 95,Sky 94,World 90,Tree 88,Asphalt 87,Urban design 85,Road surface 85,Graphics software 83,Biome 83,Line 82
long 16.9950515 lat 46.454893 viewpoint 270 degrees.jpeg,Window 93,Building 87,Screenshot 81,Urban design 79,Facade 79,Real estate 78,Font 78,Software 70,Door 66,Advertising 64
long 16.9950515 lat 46.454893 viewpoint 90 degrees.jpeg,Wheel 97,Car 97,Tire 97,Cloud 96,Sky 96,Vehicle 95,Building 92,Motor vehicle 91,Tree 89,Automotive design 87
long 16.995078 lat 46.454936 viewpoint 0 degrees.jpeg,Building 93,Tree 86,Wheel 85,Urban design 84,Car 84,Sky 83,Asphalt 83,Neighbourhood 82,City 80,Screenshot 80
long 16.995078 lat 46.454936 viewpoint 180 degrees.jpeg,Cloud 96,Sky 94,World 91,Tree 88,Asphalt 88,Urban design 85,Road surface 85,Graphics software 83,Biome 83,Line 82
long 16.995078 lat 46.454936 viewpoint 270 degrees.jpeg,Window 93,Building 87,Screenshot 81,Urban design 79,Facade 79,Real estate 78,Font 78,Software 70,Door 66,Advertising 64
long 16.995078 lat 46.454936 viewpoint 90 degrees.jpeg,Wheel 97,Car 97,Tire 97,Cloud 96,Sky 96,Vehicle 95,Building 92,Motor vehicle 91,Tree 89,Automotive design 87
long 16.995094 lat 46.454961 viewpoint 0 degrees.jpeg,Building 93,Tree 86,Wheel 85,Urban design 84,Car 84,Sky 83,Asphalt 83,Neighbourhood 82,City 80,Screenshot 80
long 16.995094 lat 46.454961 viewpoint 180 degrees.jpeg,Cloud 96,Sky 94,World 91,Tree 88,Asphalt 88,Urban design 85,Road surface 85,Graphics software 83,Biome 83,Line 82
long 16.995094 lat 46.454961 viewpoint 270 degrees.jpeg,Window 93,Building 87,Screenshot 81,Urban design 79,Facade 79,Real estate 78,Font 78,Software 70,Door 66,Advertising 64
long 16.995094 lat 46.454961 viewpoint 90 degrees.jpeg,Wheel 97,Car 97,Tire 97,Cloud 96,Sky 96,Vehicle 95,Building 92,Motor vehicle 91,Tree 89,Automotive design 87
long 16.995112 lat 46.454786 viewpoint 0 degrees.jpeg,Light 91,Building 91,Street light 87,Sky 83,Font 81,Screenshot 81,Urban design 79,Asphalt 79,Software 77,Tree 77
long 16.9951138333333 lat 46.454911 viewpoint 0 degrees.jpeg,Building 93,Tree 86,Wheel 85,Urban design 84,Car 84,Sky 83,Asphalt 83,Neighbourhood 82,City 80,Screenshot 80
long 16.9951138333333 lat 46.454911 viewpoint 180 degrees.jpeg,Cloud 96,Sky 94,World 91,Tree 88,Asphalt 88,Urban design 85,Road surface 85,Graphics software 83,Biome 83,Line 82
long 16.9951138333333 lat 46.454911 viewpoint 270 degrees.jpeg,Window 94,Building 87,Screenshot 81,Urban design 80,Facade 79,Real estate 78,Font 77,Software 68,Advertising 64,Door 64
