long 16.989691 lat 46.471266 viewpoint 0 degrees.jpeg,Automotive parking light 98,Tire 97,Car 97,Land vehicle 96,Wheel 96,Vehicle 96,Automotive lighting 92,Sky 91,Motor vehicle 91,Automotive design 89
long 16.9898069210526 lat 46.4711142679426 viewpoint 90 degrees.jpeg,Ecoregion 93,Plant 92,Sky 87,Land lot 85,Font 84,Biome 83,Screenshot 83,Line 82,Tree 81,Grass 80
long 16.9898181124402 lat 46.4711140550239 viewpoint 0 degrees.jpeg,Sky 93,Light 91,Nature 90,Tree 90,Asphalt 88,World 87,Font 84,Screenshot 82,Woody plant 82,Urban design 79
long 16.9898181124402 lat 46.4711140550239 viewpoint 180 degrees.jpeg,Sky 93,Window 92,Infrastructure 89,Road surface 89,Vehicle 89,Tire 88,Automotive tire 88,Asphalt 87,Car 87,Automotive lighting 86
long 16.9898181124402 lat 46.4711140550239 viewpoint 270 degrees.jpeg,Sky 91,Nature 90,Infrastructure 89,Asphalt 89,Road surface 87,Mode of transport 86,Tree 85,Font 84,Screenshot 83,Woody plant 82
long 16.9898181124402 lat 46.4711140550239 viewpoint 90 degrees.jpeg,Ecoregion 93,Plant 92,Sky 87,Land lot 85,Font 84,Biome 83,Screenshot 83,Line 82,Tree 81,Grass 80
long 16.9898229210526 lat 46.4709345315789 viewpoint 0 degrees.jpeg,Sky 95,Nature 90,Tree 89,World 89,Infrastructure 89,Asphalt 88,Natural landscape 85,Plant 84,Mode of transport 84,Screenshot 84
long 16.9898229210526 lat 46.4709345315789 viewpoint 180 degrees.jpeg,Sky 95,Photograph 94,Plant 94,Infrastructure 91,Vehicle 89,Asphalt 89,Tire 88,Cloud 87,Tree 87,Road surface 87
long 16.9898229210526 lat 46.4709345315789 viewpoint 270 degrees.jpeg,Plant 95,Building 95,Property 94,Photograph 94,Sky 92,Light 91,World 88,Tree 87,Architecture 86,Land lot 85
long 16.9898229210526 lat 46.4709345315789 viewpoint 90 degrees.jpeg,Plant 96,Nature 90,Tree 88,Natural landscape 87,Vegetation 86,Grass 85,Terrestrial plant 84,Biome 83,Font 82,Screenshot 82
long 16.9898232906178 lat 46.4711204576659 viewpoint 0 degrees.jpeg,Sky 93,Light 91,Nature 90,Tree 90,Asphalt 88,World 87,Font 84,Screenshot 82,Woody plant 82,Urban design 79
long 16.9898232906178 lat 46.4711204576659 viewpoint 180 degrees.jpeg,Sky 93,Window 92,Infrastructure 89,Road surface 89,Vehicle 89,Tire 88,Automotive tire 88,Asphalt 87,Car 87,Automotive lighting 86
long 16.9898232906178 lat 46.4711204576659 viewpoint 270 degrees.jpeg,Sky 91,Nature 90,Infrastructure 89,Asphalt 89,Road surface 87,Mode of transport 86,Tree 85,Font 84,Screenshot 83,Woody plant 82
long 16.9898232906178 lat 46.4711204576659 viewpoint 90 degrees.jpeg,Ecoregion 93,Plant 92,Sky 87,Land lot 85,Font 84,Biome 83,Screenshot 83,Line 82,Tree 81,Grass 80
long 16.9898280372807 lat 46.4711263267544 viewpoint 0 degrees.jpeg,Sky 93,Light 91,Nature 90,Tree 90,Asphalt 88,World 87,Font 84,Screenshot 82,Woody plant 82,Urban design 79
long 16.9898280372807 lat 46.4711263267544 viewpoint 180 degrees.jpeg,Sky 93,Window 92,Infrastructure 89,Road surface 89,Vehicle 89,Tire 88,Automotive tire 88,Asphalt 87,Car 87,Automotive lighting 86
long 16.9898280372807 lat 46.4711263267544 viewpoint 270 degrees.jpeg,Sky 91,Nature 90,Infrastructure 89,Asphalt 89,Road surface 87,Mode of transport 86,Tree 85,Font 84,Screenshot 83,Woody plant 82
long 16.9898280372807 lat 46.4711263267544 viewpoint 90 degrees.jpeg,Ecoregion 93,Plant 92,Sky 87,Land lot 85,Font 84,Biome 83,Screenshot 83,Line 82,Tree 81,Grass 80
long 16.989836925 lat 46.471379825 viewpoint 0 degrees.jpeg,Automotive parking light 98,Tire 98,Car 97,Wheel 96,Land vehicle 96,Vehicle 96,Automotive lighting 92,Motor vehicle 92,Sky 91,Automotive tire 89
long 16.989836925 lat 46.471379825 viewpoint 180 degrees.jpeg,Plant 95,Window 91,Nature 90,Tree 89,Building 88,Asphalt 82,Biome 82,Line 82,Screenshot 82,Urban design 82
long 16.989836925 lat 46.471379825 viewpoint 270 degrees.jpeg,Sky 96,Light 91,Infrastructure 90,Road surface 90,Asphalt 89,Tree 88,Lighting 87,Thoroughfare 86,Mode of transport 86,Screenshot 83
long 16.989836925 lat 46.471379825 viewpoint 90 degrees.jpeg,Tire 96,Car 93,Automotive lighting 92,Wheel 92,Vehicle 90,Automotive tire 87,Asphalt 87,Screenshot 82,Personal luxury car 81,Font 80
long 16.9898381428571 lat 46.4713842857143 viewpoint 0 degrees.jpeg,Automotive parking light 98,Tire 98,Car 97,Wheel 96,Land vehicle 96,Vehicle 96,Automotive lighting 92,Motor vehicle 92,Sky 91,Automotive tire 89
long 16.9898381428571 lat 46.4713842857143 viewpoint 180 degrees.jpeg,Plant 95,Window 91,Nature 90,Tree 89,Building 88,Asphalt 82,Biome 82,Line 82,Screenshot 82,Urban design 82
long 16.9898381428571 lat 46.4713842857143 viewpoint 270 degrees.jpeg,Sky 96,Light 91,Infrastructure 90,Road surface 90,Asphalt 89,Tree 88,Lighting 87,Thoroughfare 86,Mode of transport 86,Screenshot 83
long 16.9898381428571 lat 46.4713842857143 viewpoint 90 degrees.jpeg,Tire 96,Car 93,Automotive lighting 92,Wheel 92,Vehicle 90,Automotive tire 87,Asphalt 87,Screenshot 82,Personal luxury car 81,Font 80
long 16.9898382960526 lat 46.4711261315789 viewpoint 0 degrees.jpeg,Sky 93,Light 91,Nature 90,Tree 90,Asphalt 88,World 87,Font 84,Screenshot 82,Woody plant 82,Urban design 79
long 16.9898382960526 lat 46.4711261315789 viewpoint 180 degrees.jpeg,Sky 93,Window 92,Infrastructure 89,Road surface 89,Vehicle 89,Tire 88,Automotive tire 88,Asphalt 87,Car 87,Automotive lighting 86
long 16.9898382960526 lat 46.4711261315789 viewpoint 90 degrees.jpeg,Ecoregion 93,Plant 92,Sky 87,Land lot 85,Font 84,Biome 83,Screenshot 83,Line 82,Tree 81,Grass 80
long 16.9898422526316 lat 46.4711315389474 viewpoint 0 degrees.jpeg,Sky 93,Light 91,Nature 90,Tree 90,Asphalt 88,World 87,Font 84,Screenshot 82,Woody plant 82,Urban design 79
long 16.9898422526316 lat 46.4711315389474 viewpoint 180 degrees.jpeg,Sky 93,Window 92,Infrastructure 89,Road surface 89,Vehicle 89,Tire 88,Automotive tire 88,Asphalt 87,Car 87,Automotive lighting 86
long 16.9898422526316 lat 46.4711315389474 viewpoint 270 degrees.jpeg,Sky 91,Nature 90,Infrastructure 89,Asphalt 89,Road surface 87,Mode of transport 86,Tree 85,Font 84,Screenshot 83,Woody plant 82
