long 16.9870954375 lat 46.4526944375 viewpoint 90 degrees.jpeg,Photograph 94,Sky 89,Road surface 86,Asphalt 85,Building 85,Screenshot 84,Biome 83,Urban design 82,Tree 81,Adaptation 79
long 16.9870985 lat 46.4526801666667 viewpoint 0 degrees.jpeg,Plant 94,World 91,Tree 90,Nature 90,Natural landscape 86,Font 84,Screenshot 84,Biome 83,Sky 83,Woody plant 81
long 16.9870985 lat 46.4526801666667 viewpoint 180 degrees.jpeg,Plant 93,Window 90,Building 90,Tree 87,House 85,Grass 83,Screenshot 81,Asphalt 77,Landscape 74,Technology 73
long 16.9870985 lat 46.4526801666667 viewpoint 270 degrees.jpeg,Sky 96,Photograph 94,Plant 93,Building 93,Moon 91,Window 91,Tree 91,Nature 90,Infrastructure 89,Asphalt 88
long 16.9870985 lat 46.4526801666667 viewpoint 90 degrees.jpeg,Photograph 94,Sky 89,Road surface 86,Asphalt 85,Building 85,Screenshot 84,Biome 83,Urban design 82,Tree 81,Adaptation 79
long 16.98710575 lat 46.4524695 viewpoint 0 degrees.jpeg,Building 92,Window 89,Plant 88,Font 84,Biome 84,Urban design 83,Line 82,Screenshot 79,Grass 79,Tree 79
long 16.98710575 lat 46.4524695 viewpoint 180 degrees.jpeg,Building 92,Sky 91,Car 90,Tree 90,Infrastructure 90,Plant 89,Asphalt 88,Road surface 87,Lighting 87,Urban design 85
long 16.98710575 lat 46.4524695 viewpoint 270 degrees.jpeg,Sky 94,Plant 94,Tire 94,Wheel 92,Infrastructure 90,Asphalt 89,Tree 89,Road surface 89,Vehicle 89,Lighting 87
long 16.98710575 lat 46.4524695 viewpoint 90 degrees.jpeg,Plant 94,Nature 90,Tree 89,Natural landscape 87,Road surface 87,Sky 86,Graphics software 86,Asphalt 86,Urban design 84,Biome 84
long 16.9871175 lat 46.4525726666667 viewpoint 0 degrees.jpeg,Sky 93,Tire 92,Building 91,Window 90,Vehicle 90,Wheel 89,Car 88,Cloud 87,Tree 85,Asphalt 83
long 16.9871175 lat 46.4525726666667 viewpoint 180 degrees.jpeg,Sky 91,Nature 90,Plant 90,Asphalt 87,Tree 87,Biome 84,Grass 83,Screenshot 83,Font 82,Road surface 82
long 16.9871175 lat 46.4525726666667 viewpoint 270 degrees.jpeg,Building 93,Window 90,Tree 87,Plant 86,Land lot 84,Biome 84,Screenshot 83,Grass 82,Wood 80,Real estate 79
long 16.9871175 lat 46.4525726666667 viewpoint 90 degrees.jpeg,Property 94,Photograph 94,Plant 93,Building 92,World 91,Nature 90,Window 89,Tree 87,Lighting 87,Urban design 85
long 16.98711975 lat 46.4525985833333 viewpoint 0 degrees.jpeg,Sky 93,Tire 92,Building 91,Window 91,Vehicle 90,Car 89,Wheel 88,Cloud 87,Tree 86,Asphalt 83
long 16.98711975 lat 46.4525985833333 viewpoint 180 degrees.jpeg,Plant 91,Sky 91,Nature 90,Asphalt 87,Tree 86,Biome 84,Grass 83,Screenshot 83,Road surface 82,Font 82
long 16.98711975 lat 46.4525985833333 viewpoint 270 degrees.jpeg,Building 93,Window 90,Tree 87,Plant 86,Land lot 84,Biome 84,Screenshot 83,Grass 82,Wood 80,Real estate 79
long 16.98711975 lat 46.4525985833333 viewpoint 90 degrees.jpeg,Property 94,Photograph 94,Plant 93,Building 92,World 91,Nature 90,Window 89,Tree 87,Lighting 87,Urban design 85
long 16.987121 lat 46.4523503333333 viewpoint 0 degrees.jpeg,Building 92,Window 89,Plant 88,Font 84,Biome 84,Urban design 83,Line 82,Screenshot 79,Grass 79,Tree 79
long 16.987121 lat 46.4523503333333 viewpoint 180 degrees.jpeg,Building 92,Sky 91,Car 90,Tree 90,Infrastructure 90,Plant 89,Asphalt 88,Road surface 87,Lighting 87,Urban design 85
long 16.987121 lat 46.4523503333333 viewpoint 270 degrees.jpeg,Sky 94,Plant 94,Tire 94,Wheel 92,Infrastructure 90,Asphalt 89,Tree 89,Road surface 89,Vehicle 89,Lighting 87
long 16.987121 lat 46.4523503333333 viewpoint 90 degrees.jpeg,Plant 94,Nature 90,Tree 89,Natural landscape 87,Road surface 87,Sky 86,Graphics software 86,Asphalt 86,Urban design 84,Biome 84
long 16.9871219 lat 46.4524956 viewpoint 0 degrees.jpeg,Building 92,Window 89,Plant 88,Font 84,Biome 84,Urban design 83,Line 82,Screenshot 79,Grass 79,Tree 79
long 16.9871219 lat 46.4524956 viewpoint 180 degrees.jpeg,Property 94,Building 92,Sky 91,Tree 90,Infrastructure 90,Car 89,Plant 89,Asphalt 88,Road surface 87,Lighting 87
long 16.9871219 lat 46.4524956 viewpoint 270 degrees.jpeg,Sky 94,Plant 94,Tire 94,Wheel 92,Infrastructure 90,Asphalt 89,Tree 89,Road surface 89,Vehicle 89,Lighting 87
long 16.9871219 lat 46.4524956 viewpoint 90 degrees.jpeg,Plant 94,Nature 90,Tree 89,Natural landscape 87,Road surface 87,Sky 86,Graphics software 86,Asphalt 86,Urban design 84,Biome 84
long 16.9871273333333 lat 46.4526475833333 viewpoint 0 degrees.jpeg,Plant 94,World 91,Tree 90,Nature 90,Natural landscape 86,Font 84,Screenshot 84,Biome 83,Sky 83,Woody plant 81
long 16.9871273333333 lat 46.4526475833333 viewpoint 180 degrees.jpeg,Plant 93,Window 90,Building 90,Tree 87,House 85,Grass 83,Screenshot 81,Asphalt 77,Landscape 74,Technology 73
long 16.9871273333333 lat 46.4526475833333 viewpoint 270 degrees.jpeg,Sky 96,Photograph 94,Plant 93,Building 92,Moon 91,Tree 91,Nature 90,Window 90,Infrastructure 89,Asphalt 88
long 16.9871273333333 lat 46.4526475833333 viewpoint 90 degrees.jpeg,Photograph 94,Sky 89,Road surface 86,Asphalt 85,Building 85,Screenshot 84,Biome 83,Urban design 82,Tree 81,Adaptation 79
long 16.9871288 lat 46.4526376 viewpoint 0 degrees.jpeg,Sky 93,Tire 92,Building 91,Window 90,Vehicle 90,Wheel 89,Car 88,Cloud 87,Tree 85,Asphalt 83
